"date","month","year","event","championship","decision","decision_group","round","time","p1_result","p1_id","p1_name","p1_country","p1_sex","p2_result","p2_id","p2_name","p2_country","p2_sex","wtClass"
"6/13/09",6,2009,"UFC 99: The Comeback",FALSE,"Decision - Split","Decision","3","05:00:00","L",2335804,"Davis, Marcus","USA","M","W",2354205,"Hardy, Dan","ENG","M","Welterweight"
"1/17/09",1,2009,"UFC 93: Franklin vs. Henderson",FALSE,"Decision - Split","Decision","3","05:00:00","W",2335804,"Davis, Marcus","USA","M","L",2335670,"Lytle, Chris","USA","M","Welterweight"
"10/18/08",10,2008,"UFC 89: Bisping vs. Leben",FALSE,"Submission","Submission","2","02:16:00","W",2335804,"Davis, Marcus","USA","M","L",2335813,"Kelly, Paul","ENG","M","Welterweight"
"6/7/08",6,2008,"UFC 85: Bedlam",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",2335804,"Davis, Marcus","USA","M","W",2335819,"Swick, Mike","USA","M","Welterweight"
"1/19/08",1,2008,"UFC 80: Rapid Fire",FALSE,"KO/TKO","KO/TKO","1","01:04:00","W",2335804,"Davis, Marcus","USA","M","L",2335823,"Liaudin, Jess","CHN","M","Welterweight"
"9/8/07",9,2007,"UFC 75: Champion vs. Champion",FALSE,"Submission","Submission","1","04:14:00","W",2335804,"Davis, Marcus","USA","M","L",2335736,"Taylor, Paul","ENG","M","Welterweight"
"6/16/07",6,2007,"UFC 72: Victory",FALSE,"KO/TKO","KO/TKO","1","01:15:00","W",2335804,"Davis, Marcus","USA","M","L",2335821,"Tan, Jason","JPN","M","Welterweight"
"4/7/07",4,2007,"UFC 69: Shootout",FALSE,"Submission","Submission","2","02:57:00","W",2335804,"Davis, Marcus","USA","M","L",2354206,"Spratt, Pete","USA","M","Welterweight"
"7/14/06",7,2006,"WBFN: Wild Bill's Fight Night 3",FALSE,"TKO","KO/TKO","1","00:00:00","W",2335804,"Davis, Marcus","USA","M","L",2501301,"Hathaway, Jason","USA","M","Welterweight"
"5/13/06",5,2006,"CZ 16: In the Cage 2",FALSE,"Submission (Guillotine)","Submission","1","00:37:00","W",2335804,"Davis, Marcus","USA","M","L",2501302,"Gunder, Craig","POL","M","Welterweight"
"4/8/06",4,2006,"CZ 14: In the Cage",FALSE,"Submission (Neck Crank)","Submission","1","01:41:00","W",2335804,"Davis, Marcus","USA","M","L",2501303,"Normington, Andy","USA","M","Welterweight"
"11/5/05",11,2005,"The Ultimate Fighter 2 Finale",FALSE,"TKO - Doctor's Stoppage","KO/TKO","2","02:55:00","L",2335804,"Davis, Marcus","USA","M","W",2335800,"Guillard, Melvin","USA","M","Welterweight"
"1/31/14",1,2014,"HFC: Havoc Fighting Championship 4",FALSE,"Submission (Kimura)","Submission","2","02:16:00","L",4684642,"Davis, Michael","CAN","M","W",3153250,"Gordon, Malcolm","CAN","M","Flyweight"
"9/13/08",9,2008,"Strikeforce - Young Guns 3",FALSE,"Decision - Unanimous","Decision","3","03:00:00","W",2556351,"Davis, Mike","CAN","M","L",2951203,"Dominguez, OJ","BRA","M","Lightweight"
"8/11/07",8,2007,"KO: Productions",FALSE,"Submission (Guillotine)","Submission","1","00:38:00","L",2556351,"Davis, Mike","CAN","M","W",2526824,"Garza, Pablo","USA","M","Lightweight"
"1/20/21",1,2021,"UFC Fight Night: Chiesa vs. Magny",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4339145,"Davis, Mike","USA","M","L",4419470,"Jones, Mason","USA","M","Lightweight"
"10/12/19",10,2019,"UFC Fight Night: Joanna vs. Waterson",FALSE,"KO/TKO","KO/TKO","3","04:45:00","W",4339145,"Davis, Mike","USA","M","L",3087369,"Gifford, Thomas","USA","M","Lightweight"
"3/22/19",3,2019,"Island Fights 54: Davis vs. Guerra",FALSE,"Submission (Kimura)","Submission","1","02:08:00","W",4339145,"Davis, Mike","USA","M","L",4421772,"Guerra, Carlos","AUT","M","Lightweight"
