"date","month","year","event","championship","decision","decision_group","round","time","p1_result","p1_id","p1_name","p1_country","p1_sex","p2_result","p2_id","p2_name","p2_country","p2_sex","wtClass"
"12/4/10",12,2010,"Strikeforce: Henderson vs. Babalu 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",2504991,"Aaron, Tom","USA","M","W",2504993,"Ricehouse, Matt","USA","M","Lightweight"
"5/15/10",5,2010,"Strikeforce: Heavy Artillery",FALSE,"Submission","Submission","1","00:56:00","W",2504991,"Aaron, Tom","USA","M","L",2504992,"Steenberg, Eric","CAN","M","Catchweight"
"6/12/09",6,2009,"EFP: Extreme Fight Production",FALSE,"TKO","KO/TKO","2","01:47:00","L",2504991,"Aaron, Tom","USA","M","W",2504956,"Voelker, Bobby","USA","M","Welterweight"
"1/23/09",1,2009,"XF: X-Treme Fight 1",FALSE,"Unanimous Decision","Decision","3","05:00:00","L",2504991,"Aaron, Tom","USA","M","W",2514253,"Marriott, Eric","USA","M","Lightweight"
"3/25/22",3,2022,"LFA 127: Diaz vs. Assis",FALSE,"KO/TKO","KO/TKO","1","01:37:00","L",4239497,"Aaron, Tommy","ESP","M","W",5078428,"Melo, Junior","BRA","M","Welterweight"
"4/23/21",4,2021,"Combate Global: 2021 Lightweight Championship Tournament",FALSE,"Decision - Split","Decision","3","05:00:00","L",4239497,"Aaron, Tommy","ESP","M","W",4236955,"Gomez, Luis","USA","M","Welterweight"
"2/19/21",2,2021,"LFA 100: Altamirano vs. Smith",FALSE,"Submission (Rear Naked Choke)","Submission","3","03:57:00","W",4239497,"Aaron, Tommy","ESP","M","L",4900781,"Scott, Gerald","ENG","M","Welterweight"
"5/19/18",5,2018,"CG 21: Celtic Gladiator 21",FALSE,"TKO (Injury)","KO/TKO","2","00:00:00","L",4239497,"Aaron, Tommy","ESP","M","W",4895680,"Alvarez, Samuel","USA","M","Welterweight"
"1/20/18",1,2018,"Bellator 192: Rampage vs. Sonnen",FALSE,"TKO (Punches)","KO/TKO","1","00:00:00","L",4239497,"Aaron, Tommy","ESP","M","W",4354423,"Roberts, Roosevelt","USA","M","Welterweight"
"9/9/17",9,2017,"FCOC: Rumble On The Water",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4239497,"Aaron, Tommy","ESP","M","L",3112009,"Jaynes, Justin","USA","M","Welterweight"
"1/21/17",1,2017,"Bellator 170: Sonnen vs. Ortiz",FALSE,"KO","KO/TKO","1","01:02:00","L",4239497,"Aaron, Tommy","ESP","M","W",4043884,"Segura, Mike","USA","M","Welterweight"
"8/19/16",8,2016,"RFA 42: Giagos vs. Estrazulas",FALSE,"Decision - Majority","Decision","3","05:00:00","L",4239497,"Aaron, Tommy","ESP","M","W",3955570,"Duenas, Adin","USA","M","Welterweight"
"6/3/16",6,2016,"RFA 38: Moises vs. Emmers",FALSE,"TKO","KO/TKO","1","01:15:00","W",4239497,"Aaron, Tommy","ESP","M","L",4239742,"Faultersack, Luke","USA","M","Welterweight"
"12/11/15",12,2015,"RFA 33: Townsend vs. Chavez",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4239497,"Aaron, Tommy","ESP","M","L",4239743,"Rosales, Jacob","USA","M","Welterweight"
"2/15/13",2,2013,"Fury MMA 5: Blackler vs. Promrangka",FALSE,"Submission (Rear Naked Choke)","Submission","2","00:00:00","L",3089919,"Aarts, Mike","ESP","M","W",3089918,"O'Reilly, Brendan","AUS","M","Welterweight"
"3/26/16",3,2016,"ACB 32: Battle of Lions",FALSE,"Decision - Majority (Draw)","Decision","3","05:00:00","D",4401351,"Abaev, Imran","RUS","M","D",4289879,"Davlatmurodov, Sharaf","RUS","M","Middleweight"
"1/18/01",1,2001,"Bushido 1: Bushido 1",FALSE,"KO","KO/TKO","1","00:00:00","L",2501542,"Abajian, Jason","RUS","M","W",2470332,"Thomson, Josh","USA","M","Lightweight"
"12/15/12",12,2012,"ECSF: MMA Grand Prix of Eastern Europe 2",FALSE,"Submission (Triangle Choke)","Submission","-","00:30:00","W",3149709,"Abargel, Ariel","USA","M","L",3722423,"Ragimov, Tural","AZE","M","Featherweight"
"9/23/06",9,2006,"UFC 63: Hughes vs. Penn",FALSE,"Decision - Split","Decision","3","05:00:00","L",2556806,"Abbadi, Danny","RUS","M","W",2410613,"Gurgel, Jorge","BRA","M","Lightweight"
"10/20/07",10,2007,"ECC 6: Hometown Heroes",FALSE,"Submission (Rear Naked Choke)","Submission","1","01:21:00","L",2580270,"Abbas, Adil","RUS","M","W",2557943,"Ford, Ryan","CAN","M","Welterweight"
"7/25/21",7,2021,"LFL 2: Levels Fight League 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",5077792,"Abbas-Zade, Hussein","RUS","M","W",5077789,"Loughran, Caolan","IRL","M","Featherweight"
"9/26/14",9,2014,"GEFC: Baku Open Cup",FALSE,"KO/TKO","KO/TKO","2","02:15:00","L",5093808,"Abbasov, Elmir","AZE","M","W",4294871,"Abbasov, Nariman","KGZ","M","Lightweight"
"11/18/22",11,2022,"ONE on Prime Video 4: Abbasov vs. Lee",FALSE,"KO/TKO","KO/TKO","4","04:20:00","L",4275038,"Abbasov, Kiamrian","KGZ","M","W",4238217,"Lee, Christian","CAN","M","Middleweight"
"2/25/22",2,2022,"ONE Championship: Full Circle",TRUE,"Submission","Submission","3","00:57:00","L",4275038,"Abbasov, Kiamrian","KGZ","M","W",4423880,"de Ridder, Reinier","NED","M","Heavyweight"
"11/6/20",11,2020,"ONE Championship: Inside the Matrix 2",TRUE,"KO/TKO","KO/TKO","4","03:27:00","W",4275038,"Abbasov, Kiamrian","KGZ","M","L",3931157,"Nakashima, James","USA","M","Middleweight"
"5/3/19",5,2019,"ONE Championship: For Honor",FALSE,"KO/TKO","KO/TKO","2","01:10:00","W",4275038,"Abbasov, Kiamrian","KGZ","M","L",2335695,"Okami, Yushin","JPN","M","Middleweight"
"12/7/18",12,2018,"ONE Championship 86: Destiny of Champions",FALSE,"Submission (Rear Naked Choke)","Submission","1","02:35:00","W",4275038,"Abbasov, Kiamrian","KGZ","M","L",4206065,"Thani, Agilan","MAS","M","Middleweight"
"3/9/18",3,2018,"ONE Championship 69: Visions of Victory",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4275038,"Abbasov, Kiamrian","KGZ","M","W",2559764,"Santos, Luis","BRA","M","Middleweight"
"12/3/16",12,2016,"MixFace/Tech-Krep FC: MixFace 1",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4275038,"Abbasov, Kiamrian","KGZ","M","L",4274911,"Olenichev, Oleg","RUS","M","Middleweight"
"9/6/22",9,2022,"Dana White's Contender Series: Season 6, Week 7",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4294871,"Abbasov, Nariman","KGZ","M","W",3093513,"Bonfim, Ismael","USA","M","Lightweight"
"6/10/22",6,2022,"AMC Fight Nights 112: Abbasov vs. Piraev",TRUE,"TKO (Corner Stoppage)","KO/TKO","2","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",3945580,"Piraev, Marif","RUS","M","Lightweight"
"9/18/21",9,2021,"Eagle FC & AMC: Abdulmanap Nurmagomedov Memory Tournament",TRUE,"KO/TKO","KO/TKO","1","04:13:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",2557935,"Zavurov, Shamil","RUS","M","Lightweight"
"9/25/20",9,2020,"FNG 98: Fight Nights Global 98",TRUE,"Submission (Rear Naked Choke)","Submission","2","01:10:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5092854,"Gogitidze, Mikhail","USA","M","Lightweight"
"4/26/19",4,2019,"FNG 93: Fight Nights Global 93",TRUE,"Decision - Unanimous","Decision","5","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",3083674,"Khamitov, Kuat","KAZ","M","Welterweight"
"10/19/18",10,2018,"FNG 90: Mineev vs. Ismailov",FALSE,"KO/TKO","KO/TKO","1","02:24:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5092854,"Gogitidze, Mikhail","USA","M","Lightweight"
"8/25/18",8,2018,"KGP: Khojaly Global Promotion 2",FALSE,"KO/TKO","KO/TKO","1","04:01:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5092867,"Tagirov, Umar","JPN","M","Lightweight"
"4/1/18",4,2018,"FNG: Fight Nights Global 86",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",4031552,"Boranbayev, Adil","KAZ","M","Lightweight"
"1/28/18",1,2018,"GEFC: Khazar Selection 3",FALSE,"KO/TKO","KO/TKO","2","03:59:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5092868,"Bakhtiari, Ali Mauro","USA","M","Lightweight"
"7/29/17",7,2017,"FNG 71: Fight Nights Global 71",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",4894436,"Gorobets, Dmitry","CAN","M","Lightweight"
"3/25/17",3,2017,"WMMAF: Pro WMMAF Belt Championship",FALSE,"Decision - Unanimous","Decision","2","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5092870,"Antibe Zanga, Yves","USA","M","Lightweight"
"2/23/17",2,2017,"FNG 59: Fight Nights Global 59",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",4601137,"Zaynukov, Artur","RUS","M","Lightweight"
"12/9/16",12,2016,"EFN: Fight Nights Global 56",FALSE,"Decision - Unanimous","Decision","5","05:00:00","L",4294871,"Abbasov, Nariman","KGZ","M","W",4294870,"Alibekov, Magomedsaygid","RUS","M","Lightweight"
"10/15/16",10,2016,"GEFC: AZFC MMA Fighting Series 3",FALSE,"KO/TKO","KO/TKO","1","01:45:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5093770,"Mohammadi, Sajjad","EGY","M","Lightweight"
"5/26/16",5,2016,"EFN: Fight Nights Global 48",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",3895512,"Begidov, Islam","RUS","M","Lightweight"
"4/16/16",4,2016,"GEFC - AZFC MMA Fighting Series 2",FALSE,"Submission (Rear Naked Choke)","Submission","1","03:05:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5093771,"Lobat, Saeed","NED","M","Lightweight"
"2/26/16",2,2016,"EFN: Fight Nights Global 44",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5093793,"Gaponov, Nikolay","UKR","M","Lightweight"
"1/30/16",1,2016,"GEFC: AZFC MMA Fighting Series 1",FALSE,"KO/TKO","KO/TKO","1","04:12:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",4689409,"Gadzhiev, Radil","RUS","M","Lightweight"
"11/21/15",11,2015,"WMMAF: World MMA Open Championship 2015",FALSE,"KO/TKO","KO/TKO","1","02:05:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5093806,"Constantin Mocanu, Daniel","USA","M","Lightweight"
"11/21/15",11,2015,"WMMAF: World MMA Open Championship 2015",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5093805,"Feroi, Giorgio","BRA","M","Lightweight"
"3/14/15",3,2015,"GEFC: Grand Prix Azerbaijan Fight Club",FALSE,"KO/TKO","KO/TKO","1","01:04:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5093807,"Samedov, Fariz","MEX","M","Lightweight"
"12/12/14",12,2014,"N1 Pro: Battle in the North",FALSE,"Decision - Unanimous","Decision","2","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",2986681,"Butenko, Alexander","UKR","M","Welterweight"
"9/26/14",9,2014,"GEFC: Baku Open Cup",FALSE,"KO/TKO","KO/TKO","1","02:12:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5093809,"Cavadov, Samir","USA","M","Lightweight"
"4/18/14",4,2014,"GEFC: Khazar Grand Prix MMA",FALSE,"Decision - Split","Decision","3","05:00:00","L",4294871,"Abbasov, Nariman","KGZ","M","W",5093810,"Akulashvili, Shota","MAR","M","Lightweight"
"3/9/14",3,2014,"Absolute Championship Berkut: Grand Prix Berkut 2",FALSE,"Submission (Rear Naked Choke)","Submission","1","04:59:00","L",4294871,"Abbasov, Nariman","KGZ","M","W",4062314,"Tibilov, Ibragim","BRA","M","Welterweight"
"2/15/14",2,2014,"GEFC: Lights of Baku 2",FALSE,"Submission (Triangle Choke)","Submission","1","02:04:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5093812,"Shevatov, Cavid","RUS","M","Lightweight"
"12/27/13",12,2013,"GEFC: Lights of Baku",FALSE,"Submission (Armbar)","Submission","1","03:12:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",5093813,"Hasanov, Ragif","USA","M","Welterweight"
"6/30/13",6,2013,"GEFC: Azerbaijan",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4294871,"Abbasov, Nariman","KGZ","M","L",3995900,"Fedorych, Vasiliy","UKR","M","Welterweight"
"4/13/13",4,2013,"KOTC: Fighting Legends",FALSE,"TKO","KO/TKO","2","00:00:00","L",2354050,"Abbott, David","USA","M","W",2502194,"Villareal, Ruben","USA","M","Heavyweight"
"2/13/09",2,2009,"Wargods/Ken Shamrock Productions: The Valentine's",FALSE,"KO","KO/TKO","1","00:29:00","W",2354050,"Abbott, David","USA","M","L",2516662,"Bourke, Mike","USA","M","Heavyweight"
"2/16/08",2,2008,"EliteXC - Street Certified",FALSE,"KO/TKO","KO/TKO","1","00:43:00","L",2354050,"Abbott, David","USA","M","W",2354553,"Ferguson, Kevin","USA","M","Heavyweight"
"4/21/07",4,2007,"Cage Rage 21: Judgement Day",FALSE,"TKO","KO/TKO","1","02:31:00","L",2354050,"Abbott, David","USA","M","W",2354229,"Turner, Gary","USA","M","Heavyweight"
"6/6/03",6,2003,"UFC 43: Meltdown",FALSE,"Submission","Submission","1","01:59:00","L",2354050,"Abbott, David","USA","M","W",2557318,"Leopoldo, Kimo","BRA","M","Open Weight"
"2/28/03",2,2003,"UFC 41: Onslaught",FALSE,"Submission","Submission","1","00:46:00","L",2354050,"Abbott, David","USA","M","W",2335301,"Mir, Frank","USA","M","Heavyweight"
"10/16/98",10,1998,"UFC 17.5: Ultimate Brazil",FALSE,"KO/TKO","KO/TKO","1","08:07:00","L",2354050,"Abbott, David","USA","M","W",2412445,"Rizzo, Pedro","BRA","M","Heavyweight"
"5/15/98",5,1998,"UFC 17: Redemption",FALSE,"KO/TKO","KO/TKO","1","00:43:00","W",2354050,"Abbott, David","USA","M","L",2558144,"Duarte, Hugo","BRA","M","Open Weight"
"12/21/97",12,1997,"UFC - Ultimate Japan",FALSE,"Decision - Unanimous","Decision","2","03:00:00","W",2354050,"Abbott, David","USA","M","L",2558070,"Anjo, Yoji","JPN","M","Heavyweight"
"10/17/97",10,1997,"UFC 15: Collision Course",TRUE,"Submission","Submission","1","08:08:00","L",2354050,"Abbott, David","USA","M","W",2473329,"Smith, Maurice","USA","M","Heavyweight"
"5/30/97",5,1997,"UFC 13: The Ultimate Force",FALSE,"KO/TKO","KO/TKO","1","00:52:00","L",2354050,"Abbott, David","USA","M","W",2354057,"Belfort, Vitor","BRA","M","Heavyweight"
"12/7/96",12,1996,"UFC: Ultimate Ultimate 96",TRUE,"Submission","Submission","1","01:22:00","L",2354050,"Abbott, David","USA","M","W",2354083,"Frye, Don","BRA","M","Heavyweight"
"12/7/96",12,1996,"UFC: Ultimate Ultimate 96",FALSE,"KO/TKO","KO/TKO","1","01:03:00","W",2354050,"Abbott, David","USA","M","L",2951341,"Nelmark, Steve","USA","M","Open Weight"
"9/20/96",9,1996,"UFC 11: The Proving Ground",FALSE,"Decision - Unanimous","Decision","2","03:00:00","L",2354050,"Abbott, David","USA","M","W",2499918,"Ferrozzo, Scott","USA","M","Heavyweight"
"9/20/96",9,1996,"UFC 11: The Proving Ground",FALSE,"Submission","Submission","1","02:06:00","W",2354050,"Abbott, David","USA","M","L",2504612,"Adkins, Sam","USA","M","Heavyweight"
"12/16/95",12,1995,"UFC: Ultimate Ultimate 95",FALSE,"Submission","Submission","1","01:14:00","W",2354050,"Abbott, David","USA","M","L",2951265,"Jennum, Steve","USA","M","Open Weight"
"7/14/95",7,1995,"UFC 6: Clash of the Titans",TRUE,"Submission","Submission","1","17:45:00","L",2354050,"Abbott, David","USA","M","W",2501400,"Taktarov, Oleg","JPN","M","Open Weight"
"7/14/95",7,1995,"UFC 6: Clash of the Titans",FALSE,"KO/TKO","KO/TKO","1","01:53:00","W",2354050,"Abbott, David","USA","M","L",2951121,"Varelans, Paul","ARG","M","Open Weight"
"7/14/95",7,1995,"UFC 6: Clash of the Titans",FALSE,"KO/TKO","KO/TKO","1","00:20:00","W",2354050,"Abbott, David","USA","M","L",2952787,"Matua, John","ITA","M","Open Weight"
"10/14/17",10,2017,"HRMMA: Hardrock MMA 93",FALSE,"KO/TKO","KO/TKO","1","01:21:00","L",4701289,"Abbott, Raleigh","USA","M","W",4251497,"Hunsucker, Harry","USA","M","Heavyweight"
"10/19/17",10,2017,"Knock-Out MMA: KNO World Tour 2",FALSE,"KO/TKO","KO/TKO","2","00:00:00","L",4422118,"Abdalla, Luiz","BRA","M","W",4917145,"Ashmoz, Yanal","KAZ","M","Welterweight"
"9/25/20",9,2020,"AUFC: Arabic Ultimate Fighting Championship 28",FALSE,"KO/TKO","KO/TKO","2","03:15:00","L",4915977,"Abdallah, Adham","BRA","M","W",4915655,"Juma, Mohamed","USA","M","Heavyweight"
"8/30/18",8,2018,"PFL 7: Atlantic City",FALSE,"KO/TKO","KO/TKO","2","05:00:00","L",4252425,"Abdallah, Jamie","AUS","M","W",3023401,"Rama, Smealinho","ALB","M","Heavyweight"
"6/21/18",6,2018,"PFL 2: Chicago",FALSE,"Submission","Submission","1","01:37:00","L",4252425,"Abdallah, Jamie","AUS","M","W",2335643,"Magalhaes, Vinny","BRA","M","Heavyweight"
"3/19/16",3,2016,"AFC 15: Wilkinson vs. Abdallah",FALSE,"TKO","KO/TKO","3","04:07:00","L",4252425,"Abdallah, Jamie","AUS","M","W",4249028,"Wilkinson, Robert","AUS","M","Heavyweight"
"3/22/15",3,2015,"AFC 12: Australian Fighting Championship 12",FALSE,"KO","KO/TKO","1","00:35:00","W",4252425,"Abdallah, Jamie","AUS","M","L",3003514,"Almeida, Daniel","BRA","M","Heavyweight"
"9/29/18",9,2018,"Bellator 206: Mousasi vs. MacDonald",FALSE,"Decision - Split","Decision","3","05:00:00","L",4986337,"Abdelaziz, Ricky","AUS","M","W",4986297,"Anderson, Laird","USA","M","Lightweight"
"10/19/01",10,2001,"UCC 6: Redemption",FALSE,"Submission (Rear Naked Choke)","Submission","1","01:41:00","L",2502709,"Abdelli, Anis","AUS","M","W",2335867,"Loiseau, David","CAN","M","Heavyweight"
"7/30/22",7,2022,"UFC 277: Peña vs. Nunes 2",FALSE,"No Contest","Unkown/Other","3","05:00:00","D",5078213,"Abdelwahab, Hamdy","EGY","M","D",4249193,"Mayes, Don'Tale","USA","M","Heavyweight"
"6/3/22",6,2022,"iKON FC 3: iKON Fighting Championship",FALSE,"KO/TKO","KO/TKO","1","00:27:00","W",5078213,"Abdelwahab, Hamdy","EGY","M","L",5078228,"Strickland, Matthew","SER","M","Heavyweight"
"3/19/22",3,2022,"Gamebred Fighting Championship: Freedom Fight Night",FALSE,"KO/TKO","KO/TKO","1","00:26:00","W",5078213,"Abdelwahab, Hamdy","EGY","M","L",4698592,"Lee, Tyler","SKO","M","Heavyweight"
"1/21/22",1,2022,"iKON FC 1: iKON Fighting Championship",FALSE,"TKO (Injury)","KO/TKO","3","03:25:00","W",5078213,"Abdelwahab, Hamdy","EGY","M","L",4393127,"Clements, Dustin","USA","M","Heavyweight"
"12/17/21",12,2021,"GFC 3: Gamebred Fighting Championship",FALSE,"KO/TKO","KO/TKO","1","00:33:00","W",5078213,"Abdelwahab, Hamdy","EGY","M","L",5078229,"McKenna, Connor","NIR","M","Heavyweight"
"10/1/21",10,2021,"GFC 2: Gamebred Fighting Championship 2",FALSE,"KO/TKO","KO/TKO","1","00:15:00","W",5078213,"Abdelwahab, Hamdy","EGY","M","L",5078228,"Strickland, Matthew","SER","M","Heavyweight"
"8/17/19",8,2019,"WEF ProfFight 36: Battle In Kara-Suu 5",FALSE,"KO/TKO","KO/TKO","1","02:42:00","L",5124269,"Abdilkhadi Uulu, Akzholtoy","ESP","M","W",5124239,"Mashrapov, Bahromjon","RSA","M","Welterweight"
"4/30/16",4,2016,"JF: Jungle Fight 86",FALSE,"Submission (Arm Triangle)","Submission","3","03:25:00","L",4411891,"Abdon, Jordano","IRI","M","W",4411886,"Colares, Felipe","BRA","M","Bantamweight"
"6/25/22",6,2022,"ARES FC 7: Abdoul vs. Amoussou",TRUE,"TKO - Doctor's Stoppage","KO/TKO","1","05:00:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",2504239,"Amoussou, Karl","FRA","M","Welterweight"
"2/3/22",2,2022,"ARES FC 3: Abdouraguimov vs. Godofredo",TRUE,"Submission (Inverted Triangle Choke)","Submission","1","02:06:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",2965058,"Pepey, Godofredo","BRA","M","Welterweight"
"12/11/21",12,2021,"ARES FC 2: Lapilus vs. Reis",FALSE,"Submission (Rear Naked Choke)","Submission","1","01:57:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",5083038,"Contini, Luciano","BRA","M","Middleweight"
"11/5/20",11,2020,"Brave CF 44",FALSE,"Submission (Arm Triangle)","Submission","1","02:50:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",4584151,"Glismann, Louis","USA","M","Welterweight"
"8/8/20",8,2020,"Brave CF 38",FALSE,"Submission (Brabo Choke)","Submission","1","04:20:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",4082917,"Booth, Carl","USA","M","Welterweight"
"10/4/19",10,2019,"Brave CF 27",TRUE,"TKO (Retirement)","KO/TKO","3","05:00:00","L",4245706,"Abdouraguimov, Abdoul","FRA","M","W",4295923,"Al-Silawi, Jarrah","JOR","M","Welterweight"
"4/19/19",4,2019,"Brave CF 23",TRUE,"Decision - Split","Decision","5","05:00:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",4295923,"Al-Silawi, Jarrah","JOR","M","Welterweight"
"10/27/18",10,2018,"Brave CF 17",FALSE,"Decision","Decision","3","05:00:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",5083037,"Cavalheiro, Rodrigo","BRA","M","Welterweight"
"8/18/18",8,2018,"Brave CF 14",FALSE,"KO/TKO","KO/TKO","1","03:20:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",4063892,"Wheeler, Sidney","USA","M","Middleweight"
"5/5/18",5,2018,"SHC 12: Strength & Honor Championship 12",FALSE,"Decision","Decision","3","05:00:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",2558506,"Andrade, Viscardi","BRA","M","Welterweight"
"3/17/18",3,2018,"EBD 3: European Beatdown 3",TRUE,"No Contest","Unkown/Other","1","05:00:00","D",4245706,"Abdouraguimov, Abdoul","FRA","M","D",5078233,"Eid, Georges","USA","M","Welterweight"
"10/21/17",10,2017,"Hit-FC: Hit Fighting Championship 4",TRUE,"Submission (Rear Naked Choke)","Submission","1","01:39:00","W",4245706,"Abdouraguimov, Abdoul","FRA","M","L",4781198,"Saghliani, Aleko","GEO","M","Welterweight"
"5/26/18",5,2018,"Eagles FC 9: Eagles Fighting Championship 9",FALSE,"KO/TKO","KO/TKO","3","03:18:00","L",5123494,"Abdrashitov, Nemat","KGZ","M","W",4013570,"Mircea, Valeriu","MDA","M","Featherweight"
"2/16/19",2,2019,"CFFC 72: Cage Fury Fighting Championships 72",TRUE,"KO/TKO","KO/TKO","4","03:30:00","L",4238098,"Abdul Hakim, Tajuddin","KGZ","M","W",4295192,"Brady, Sean","USA","M","Welterweight"
"3/2/18",3,2018,"ROC 62: Ring of Combat 62",TRUE,"KO/TKO","KO/TKO","1","02:38:00","W",4238098,"Abdul Hakim, Tajuddin","KGZ","M","L",3722437,"Desir, Bradley","CAN","M","Welterweight"
"2/24/17",2,2017,"ROC 58: Ring of Combat 58",TRUE,"Decision - Unanimous","Decision","3","05:00:00","L",4238098,"Abdul Hakim, Tajuddin","KGZ","M","W",4040925,"Outlaw, Sidney","USA","M","Welterweight"
"3/4/16",3,2016,"ROC 54: Ring of Combat 54",FALSE,"Decision - Unanimous","Decision","3","03:00:00","W",4238098,"Abdul Hakim, Tajuddin","KGZ","M","L",4303050,"Foster, Travis","USA","M","Welterweight"
"4/27/19",4,2019,"ACA 95: Moscow",TRUE,"Decision - Unanimous","Decision","5","05:00:00","L",3089019,"Abdulaev, Murad","RUS","M","W",3077132,"Tumenov, Albert","RUS","M","Welterweight"
"11/18/16",11,2016,"M-1 Challenge 72: Kunchenko vs. Abdulaev",TRUE,"Decision - Unanimous","Decision","5","05:00:00","L",3089019,"Abdulaev, Murad","RUS","M","W",3999124,"Kunchenko, Aleksei","RUS","M","Welterweight"
"4/8/16",4,2016,"M-1 Challenge 65: Emeev vs. Falcao",TRUE,"TKO (Corner Stoppage)","KO/TKO","4","03:12:00","L",3089019,"Abdulaev, Murad","RUS","M","W",3999124,"Kunchenko, Aleksei","RUS","M","Welterweight"
"6/6/15",6,2015,"M-1 Challenge 58: Battle in the Mountains 4",TRUE,"Decision - Unanimous","Decision","5","05:00:00","W",3089019,"Abdulaev, Murad","RUS","M","L",2501485,"Brito, Marcelo","BRA","M","Middleweight"
"4/9/13",4,2013,"M-1 Challenge 38: Spring Battle",FALSE,"Decision - Split","Decision","3","05:00:00","L",3089019,"Abdulaev, Murad","RUS","M","W",2950951,"Yakovlev, Alexander","RUS","M","Welterweight"
"6/6/12",6,2012,"M-1 Challenge 33: Emelianenko vs. Magomedov 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",3089019,"Abdulaev, Murad","RUS","M","L",3060892,"Agujev, Arbi","AUT","M","Welterweight"
"5/15/11",5,2011,"FCF: CIS Pro Tournament",FALSE,"Unanimous Decision","Decision","2","05:00:00","W",3089019,"Abdulaev, Murad","RUS","M","L",3077132,"Tumenov, Albert","RUS","M","Welterweight"
"10/22/10",10,2010,"ProFC: Union Nation Cup 9",FALSE,"Decision - Unanimous","Decision","2","05:00:00","W",3089019,"Abdulaev, Murad","RUS","M","L",3895808,"Gasanov, Magomedrasul","RUS","M","Middleweight"
"1/28/17",1,2017,"FNG: Fight Nights Global 58",FALSE,"TKO","KO/TKO","1","04:23:00","L",3156120,"Abdulaev, Rasul","RUS","M","W",4591016,"Magomedov, Kamal","RUS","M","Welterweight"
"4/9/13",4,2013,"M-1 Challenge 38: Spring Battle",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",3156120,"Abdulaev, Rasul","RUS","M","L",3046957,"Eckerlin, Christian","GER","M","Welterweight"
"9/22/19",9,2019,"IPFC - Battle at Sea",FALSE,"TKO (Punches)","KO/TKO","1","04:28:00","W",5099623,"Abdulaev, Shamil","RUS","M","L",4972495,"Oliveira, Patrick","BRA","M","Heavyweight"
"10/4/18",10,2018,"WFCA 53 - Abdurahmanov vs. Abdulaev",FALSE,"Decision - Split","Decision","5","05:00:00","L",5099623,"Abdulaev, Shamil","RUS","M","W",4415088,"Abdurahmanov, Salamu","RUS","M","Heavyweight"
"11/5/16",11,2016,"MFP 204: International Pankration Tournament",FALSE,"TKO (Punches)","KO/TKO","1","03:03:00","W",5099623,"Abdulaev, Shamil","RUS","M","L",4966034,"Kotlovyanov, Bogdan","UKR","M","Heavyweight"
