ID,Player,Team,Game,Date,Opposing Team,Position,Pre-Season Injury?,Winning Team?,Week of Injury,Season,Weeks Injured,Games Missed,Unknown Injury?,Reported Injury Type,Total Snaps,Play Time After Injury,Average Playtime Before Injury,record_date,birth_date,age,position_group
Aldrick Robinson - Washington Redskins vs. Tampa Bay Buccaneers (30/9/2012),Aldrick Robinson,Washington Redskins,Washington Redskins vs. Tampa Bay Buccaneers (30/9/2012),30/09/2012,Tampa Bay Buccaneers,Wide Receiver,No,Yes,4,2012/2013,1,1,No,Head,0,14 downs,37.00 downs,2012-09-30,1988-09-24,24.016427104722794,Receiver
Alex Green - Green Bay Packers vs. Chicago Bears (16/12/2012),Alex Green,Green Bay Packers,Green Bay Packers vs. Chicago Bears (16/12/2012),16/12/2012,Chicago Bears,Running Back,No,Yes,15,2012/2013,1,2,No,Concussion,38,1 downs,29.55 downs,2012-12-16,1988-06-23,24.48186173853525,RB
Alex Smith - Cincinnati Bengals vs. Cleveland Browns (16/9/2012),Alex Smith,Cleveland Browns,Cincinnati Bengals vs. Cleveland Browns (16/9/2012),16/09/2012,Cincinnati Bengals,Tight End,No,No,2,2012/2013,1,3,No,Head,30,14 downs,43.00 downs,2012-09-16,1982-05-22,30.321697467488022,Receiver
Andre Brown - New York Giants vs. Cleveland Browns (7/10/2012),Andre Brown,New York Giants,New York Giants vs. Cleveland Browns (7/10/2012),7/10/2012,Cleveland Browns,Running Back,No,Yes,5,2012/2013,1,1,No,Concussion,4,25 downs,36.25 downs,2012-10-07,1986-12-15,25.812457221081452,RB
Andrew Whitworth - Cincinnati Bengals vs. Philadelphia Eagles (13/12/2012),Andrew Whitworth,Cincinnati Bengals,Cincinnati Bengals vs. Philadelphia Eagles (13/12/2012),13/12/2012,Philadelphia Eagles,Offensive Tackle,No,Yes,15,2012/2013,1,0,No,Head,64,68 downs,69.77 downs,2012-12-13,1981-12-12,31.003422313483917,Offensive Line
Anthony Allen - Cincinnati Bengals vs. Baltimore Ravens (30/12/2012),Anthony Allen,Baltimore Ravens,Cincinnati Bengals vs. Baltimore Ravens (30/12/2012),30/12/2012,Cincinnati Bengals,Running Back,No,No,17,2012/2013,1,0,No,Head,56,19 downs,22.60 downs,2012-12-30,1988-08-06,24.399726214921287,RB
Antoine Caldwell - Green Bay Packers vs. Houston Texans (14/10/2012),Antoine Caldwell,Houston Texans,Green Bay Packers vs. Houston Texans (14/10/2012),14/10/2012,Green Bay Packers,Guard,No,No,6,2012/2013,1,0,No,Concussion,8,48 downs,48.00 downs,2012-10-14,1986-04-19,26.48870636550308,Offensive Line
Barry Richardson - New England Patriots vs. St. Louis Rams (28/10/2012),Barry Richardson,St. Louis Rams,New England Patriots vs. St. Louis Rams (28/10/2012),28/10/2012,New England Patriots,Offensive Tackle,No,No,8,2012/2013,1,0,No,Head,40,88 downs,66.14 downs,2012-10-28,1986-05-15,26.455852156057496,Offensive Line
Bernard Pierce - Denver Broncos vs. Baltimore Ravens (16/12/2012),Bernard Pierce,Baltimore Ravens,Denver Broncos vs. Baltimore Ravens (16/12/2012),16/12/2012,Denver Broncos,Running Back,No,No,15,2012/2013,1,0,No,Head,6,22 downs,12.69 downs,2012-12-16,1990-05-10,22.60369609856263,RB
Bilal Powell - Seattle Seahawks vs. New York Jets (11/11/2012),Bilal Powell,New York Jets,Seattle Seahawks vs. New York Jets (11/11/2012),11/11/2012,Seattle Seahawks,Running Back,No,No,10,2012/2013,1,0,No,Concussion,13,28 downs,31.00 downs,2012-11-11,1988-10-27,24.041067761806982,RB
Billy Bajema - Cincinnati Bengals vs. Baltimore Ravens (30/12/2012),Billy Bajema,Baltimore Ravens,Cincinnati Bengals vs. Baltimore Ravens (30/12/2012),30/12/2012,Cincinnati Bengals,Tight End,No,No,17,2012/2013,1,0,No,Head,54,10 downs,22.29 downs,2012-12-30,1982-10-31,30.16563997262149,Receiver
Brady Quinn - Oakland Raiders vs. Kansas City Chiefs (28/10/2012),Brady Quinn,Kansas City Chiefs,Oakland Raiders vs. Kansas City Chiefs (28/10/2012),28/10/2012,Oakland Raiders,Quarterback,No,No,8,2012/2013,1,2,No,Head,11,30 downs,39.00 downs,2012-10-28,1984-10-27,28.00273785078713,QB
Brandon LaFell - Chicago Bears vs. Carolina Panthers (28/10/2012),Brandon LaFell,Carolina Panthers,Chicago Bears vs. Carolina Panthers (28/10/2012),28/10/2012,Chicago Bears,Wide Receiver,No,No,8,2012/2013,1,1,No,Head,69,70 downs,56.50 downs,2012-10-28,1986-11-04,25.982203969883642,Receiver
Brandon Myers - Oakland Raiders vs. Pittsburgh Steelers (23/9/2012),Brandon Myers,Oakland Raiders,Oakland Raiders vs. Pittsburgh Steelers (23/9/2012),23/09/2012,Pittsburgh Steelers,Tight End,No,Yes,3,2012/2013,1,0,No,Concussion,55,67 downs,68.00 downs,2012-09-23,1985-09-04,27.052703627652292,Receiver
Brandon Weeden - Cleveland Browns vs. Pittsburgh Steelers (25/11/2012),Brandon Weeden,Cleveland Browns,Cleveland Browns vs. Pittsburgh Steelers (25/11/2012),25/11/2012,Pittsburgh Steelers,Quarterback,No,Yes,12,2012/2013,1,0,No,Head,61,68 downs,64.60 downs,2012-11-25,1983-10-14,29.117043121149898,QB
Brent Celek - Philadelphia Eagles vs. Tampa Bay Buccaneers (9/12/2012),Brent Celek,Philadelphia Eagles,Philadelphia Eagles vs. Tampa Bay Buccaneers (9/12/2012),9/12/2012,Tampa Bay Buccaneers,Tight End,No,Yes,14,2012/2013,1,1,No,Concussion,1,64 downs,66.50 downs,2012-12-09,1985-01-25,27.871321013004792,Receiver
Cecil Shorts - Buffalo Bills vs. Jacksonville Jaguars (2/12/2012),Cecil Shorts,Jacksonville Jaguars,Buffalo Bills vs. Jacksonville Jaguars (2/12/2012),2/12/2012,Buffalo Bills,Wide Receiver,No,No,13,2012/2013,1,1,No,Concussion,54,62 downs,42.82 downs,2012-12-02,1987-12-22,24.947296372347708,Receiver
