ID,Player,Team,Game,Date,Opposing Team,Position,Pre-Season Injury?,Winning Team?,Week of Injury,Season,Weeks Injured,Games Missed,Unknown Injury?,Reported Injury Type,Total Snaps,Play Time After Injury,Average Playtime Before Injury,record_date,birth_date,age,position_group
Chaz Schilens - New England Patriots vs. New York Jets (22/11/2012),Chaz Schilens,New York Jets,New England Patriots vs. New York Jets (22/11/2012),22/11/2012,New England Patriots,Wide Receiver,No,No,12,2012/2013,1,0,No,Concussion,50,43 downs,44.40 downs,2012-11-22,1985-11-07,27.041752224503764,Receiver
Clyde Gates - New England Patriots vs. New York Jets (22/11/2012),Clyde Gates,New York Jets,New England Patriots vs. New York Jets (22/11/2012),22/11/2012,New England Patriots,Wide Receiver,No,No,12,2012/2013,1,2,No,Concussion,30,17 downs,22.14 downs,2012-11-22,1986-06-13,26.444900752908968,Receiver
Craig Stevens - Tennessee Titans vs. Buffalo Bills (21/10/2012),Craig Stevens,Tennessee Titans,Tennessee Titans vs. Buffalo Bills (21/10/2012),21/10/2012,Buffalo Bills,Tight End,No,Yes,7,2012/2013,1,0,No,Concussion,54,53 downs,47.00 downs,2012-10-21,1984-09-01,28.136892539356605,Receiver
Dan Connolly - New England Patriots vs. Tennessee Titans (9/9/2012),Dan Connolly,New England Patriots,New England Patriots vs. Tennessee Titans (9/9/2012),9/09/2012,Tennessee Titans,Guard,No,Yes,1,2012/2013,1,1,No,Concussion,55,88 downs,NA,2012-09-09,1982-09-02,30.02053388090349,Offensive Line
Daniel Kilgore - San Francisco 49ers vs. Arizona Cardinals (29/10/2012),Daniel Kilgore,San Francisco 49ers,San Francisco 49ers vs. Arizona Cardinals (29/10/2012),29/10/2012,Arizona Cardinals,Guard,No,Yes,8,2012/2013,1,0,No,Concussion,1,8 downs,14.43 downs,2012-10-29,1987-12-18,24.865160848733744,Offensive Line
Daniel Thomas - Houston Texans vs. Miami Dolphins (9/9/2012),Daniel Thomas,Miami Dolphins,Houston Texans vs. Miami Dolphins (9/9/2012),9/09/2012,Houston Texans,Running Back,No,No,1,2012/2013,1,1,No,Concussion,18,61 downs,NA,2012-09-09,1987-10-29,24.865160848733744,RB
Darrius Heyward-Bey - Oakland Raiders vs. Pittsburgh Steelers (23/9/2012),Darrius Heyward-Bey,Oakland Raiders,Oakland Raiders vs. Pittsburgh Steelers (23/9/2012),23/09/2012,Pittsburgh Steelers,Wide Receiver,No,Yes,3,2012/2013,1,1,No,Concussion,27,50 downs,56.50 downs,2012-09-23,1987-02-26,25.574264202600958,Receiver
Dennis Pitta - Baltimore Ravens vs. Pittsburgh Steelers (18/11/2012),Dennis Pitta,Baltimore Ravens,Baltimore Ravens vs. Pittsburgh Steelers (18/11/2012),18/11/2012,Pittsburgh Steelers,Tight End,No,Yes,11,2012/2013,1,0,No,Head,1,85 downs,46.44 downs,2012-11-18,1985-06-29,27.38945927446954,Receiver
Devery Henderson - Washington Redskins vs. New Orleans Saints (9/9/2012),Devery Henderson,New Orleans Saints,Washington Redskins vs. New Orleans Saints (9/9/2012),9/09/2012,Washington Redskins,Wide Receiver,No,No,1,2012/2013,1,1,No,Concussion,32,51 downs,NA,2012-09-09,1982-03-26,30.458590006844627,Receiver
Devin Hester - Chicago Bears vs. Minnesota Vikings (25/11/2012),Devin Hester,Chicago Bears,Chicago Bears vs. Minnesota Vikings (25/11/2012),25/11/2012,Minnesota Vikings,Wide Receiver,No,Yes,12,2012/2013,1,1,No,Concussion,10,61 downs,36.70 downs,2012-11-25,1982-11-04,30.05886379192334,Receiver
Dexter McCluster - Denver Broncos vs. Kansas City Chiefs (25/11/2012),Dexter McCluster,Kansas City Chiefs,Denver Broncos vs. Kansas City Chiefs (25/11/2012),25/11/2012,Denver Broncos,Wide Receiver,No,No,12,2012/2013,1,0,No,Head,20,24 downs,40.00 downs,2012-11-25,1988-08-25,24.251882272416154,Receiver
Domenik Hixon - New York Giants vs. Tampa Bay Buccaneers (16/9/2012),Domenik Hixon,New York Giants,New York Giants vs. Tampa Bay Buccaneers (16/9/2012),16/09/2012,Tampa Bay Buccaneers,Wide Receiver,No,Yes,2,2012/2013,1,1,No,Concussion,5,62 downs,29.00 downs,2012-09-16,1984-10-08,27.939767282683093,Receiver
Donald Jones - New England Patriots vs. Buffalo Bills (30/9/2012),Donald Jones,Buffalo Bills,New England Patriots vs. Buffalo Bills (30/9/2012),30/09/2012,New England Patriots,Wide Receiver,No,No,4,2012/2013,1,0,No,Head,51,45 downs,59.00 downs,2012-09-30,1987-12-17,24.788501026694046,Receiver
Donnie Avery - New England Patriots vs. Indianapolis Colts (18/11/2012),Donnie Avery,Indianapolis Colts,New England Patriots vs. Indianapolis Colts (18/11/2012),18/11/2012,New England Patriots,Wide Receiver,No,No,11,2012/2013,1,0,No,Head,34,71 downs,66.44 downs,2012-11-18,1984-06-12,28.435318275154003,Receiver
Earl Bennett - Seattle Seahawks vs. Chicago Bears (2/12/2012),Earl Bennett,Chicago Bears,Seattle Seahawks vs. Chicago Bears (2/12/2012),2/12/2012,Seattle Seahawks,Wide Receiver,No,No,13,2012/2013,1,2,No,Concussion,20,31 downs,40.89 downs,2012-12-02,1987-03-23,25.697467488021903,Receiver
Early Doucet - Seattle Seahawks vs. Arizona Cardinals (9/12/2012),Early Doucet,Arizona Cardinals,Seattle Seahawks vs. Arizona Cardinals (9/12/2012),9/12/2012,Seattle Seahawks,Wide Receiver,No,No,14,2012/2013,1,3,No,Concussion,19,Did not return from injury,43.36 downs,2012-12-09,1985-10-28,27.11567419575633,Receiver
Fernando Velasco - Indianapolis Colts vs. Tennessee Titans (28/10/2012),Fernando Velasco,Tennessee Titans,Indianapolis Colts vs. Tennessee Titans (28/10/2012),28/10/2012,Indianapolis Colts,Center,No,No,8,2012/2013,1,0,No,Concussion,63,59 downs,66.71 downs,2012-10-28,1985-02-22,27.679671457905545,Offensive Line
Fred Jackson - New England Patriots vs. Buffalo Bills (11/11/2012),Fred Jackson,Buffalo Bills,New England Patriots vs. Buffalo Bills (11/11/2012),11/11/2012,New England Patriots,Running Back,No,No,10,2012/2013,1,1,No,Concussion,42,32 downs,30.33 downs,2012-11-11,1981-02-20,31.72347707049966,RB
Garrett Graham - Houston Texans vs. Tennessee Titans (2/12/2012),Garrett Graham,Houston Texans,Houston Texans vs. Tennessee Titans (2/12/2012),2/12/2012,Tennessee Titans,Tight End,No,Yes,13,2012/2013,1,1,No,Concussion,17,46 downs,50.27 downs,2012-12-02,1986-08-04,26.32991101984942,Receiver
Gino Gradkowski - Baltimore Ravens vs. Denver Broncos (12/1/2013),Gino Gradkowski,Baltimore Ravens,Baltimore Ravens vs. Denver Broncos (12/1/2013),12/01/2013,Denver Broncos,Guard,No,Yes,19,2012/2013,1,0,No,Head,10,5 downs,11.71 downs,2013-01-12,1988-11-05,24.186173853524984,Offensive Line
Isaac Redman - Baltimore Ravens vs. Pittsburgh Steelers (18/11/2012),Isaac Redman,Pittsburgh Steelers,Baltimore Ravens vs. Pittsburgh Steelers (18/11/2012),18/11/2012,Baltimore Ravens,Running Back,No,No,11,2012/2013,1,0,No,Concussion,5,5 downs,28.86 downs,2012-11-18,1984-11-10,28.021902806297057,RB
Jay Cutler - Houston Texans vs. Chicago Bears (11/11/2012),Jay Cutler,Chicago Bears,Houston Texans vs. Chicago Bears (11/11/2012),11/11/2012,Houston Texans,Quarterback,No,No,10,2012/2013,1,1,No,Concussion,26,73 downs,63.50 downs,2012-11-11,1983-04-29,29.53867214236824,QB
Jeff Allen - San Diego Chargers vs. Kansas City Chiefs (1/11/2012),Jeff Allen,Kansas City Chiefs,San Diego Chargers vs. Kansas City Chiefs (1/11/2012),1/11/2012,San Diego Chargers,Guard,No,No,9,2012/2013,1,0,No,Head,17,68 downs,50.71 downs,2012-11-01,1990-01-08,22.8145106091718,Offensive Line
Joe Reitz - Indianapolis Colts vs. Detroit Lions (2/12/2012),Joe Reitz,Indianapolis Colts,Indianapolis Colts vs. Detroit Lions (2/12/2012),2/12/2012,Detroit Lions,Guard,No,Yes,13,2012/2013,1,1,No,Head,3,64 downs,66.20 downs,2012-12-02,1985-08-24,27.274469541409992,Offensive Line
Joe Staley - New York Giants vs. San Francisco 49ers (14/10/2012),Joe Staley,San Francisco 49ers,New York Giants vs. San Francisco 49ers (14/10/2012),14/10/2012,New York Giants,Offensive Tackle,No,No,6,2012/2013,1,0,No,Concussion,40,61 downs,67.40 downs,2012-10-14,1984-08-30,28.123203285420946,Offensive Line
John Carlson - Minnesota Vikings vs. Arizona Cardinals (21/10/2012),John Carlson,Minnesota Vikings,Minnesota Vikings vs. Arizona Cardinals (21/10/2012),21/10/2012,Arizona Cardinals,Tight End,No,Yes,7,2012/2013,1,2,No,Concussion,22,12 downs,22.83 downs,2012-10-21,1984-05-12,28.4435318275154,Receiver
Johnny White - New York Giants vs. Green Bay Packers (25/11/2012),Johnny White,Green Bay Packers,New York Giants vs. Green Bay Packers (25/11/2012),25/11/2012,New York Giants,Running Back,No,No,12,2012/2013,1,7,No,Concussion,3,Did not return from injury,12.33 downs,2012-11-25,1988-02-03,24.810403832991103,RB
Jon Baldwin - Pittsburgh Steelers vs. Kansas City Chiefs (12/11/2012),Jon Baldwin,Kansas City Chiefs,Pittsburgh Steelers vs. Kansas City Chiefs (12/11/2012),12/11/2012,Pittsburgh Steelers,Wide Receiver,No,No,10,2012/2013,1,1,No,Head,37,26 downs,39.00 downs,2012-11-12,1989-08-10,23.2580424366872,Receiver
Jordan Cameron - Washington Redskins vs. Cleveland Browns (16/12/2012),Jordan Cameron,Cleveland Browns,Washington Redskins vs. Cleveland Browns (16/12/2012),16/12/2012,Washington Redskins,Tight End,No,No,15,2012/2013,1,2,No,Head,30,Did not return from injury,29.77 downs,2012-12-16,1988-08-07,24.358658453114305,Receiver
Josh Sitton - Green Bay Packers vs. Tennessee Titans (23/12/2012),Josh Sitton,Green Bay Packers,Green Bay Packers vs. Tennessee Titans (23/12/2012),23/12/2012,Tennessee Titans,Guard,No,Yes,16,2012/2013,1,0,No,Concussion,87,70 downs,73.64 downs,2012-12-23,1986-06-16,26.521560574948666,Offensive Line
Joshua Cribbs - Baltimore Ravens vs. Cleveland Browns (27/9/2012),Joshua Cribbs,Cleveland Browns,Baltimore Ravens vs. Cleveland Browns (27/9/2012),27/09/2012,Baltimore Ravens,Wide Receiver,No,No,4,2012/2013,1,0,No,Head,11,27 downs,23.67 downs,2012-09-27,1983-06-09,29.30321697467488,Receiver
Julian Edelman - New England Patriots vs. New York Jets (22/11/2012),Julian Edelman,New England Patriots,New England Patriots vs. New York Jets (22/11/2012),22/11/2012,New York Jets,Wide Receiver,No,Yes,12,2012/2013,1,0,No,Concussion,23,59 downs,41.00 downs,2012-11-22,1986-05-22,26.50513347022587,Receiver
Kevin Boss - Buffalo Bills vs. Kansas City Chiefs (16/9/2012),Kevin Boss,Kansas City Chiefs,Buffalo Bills vs. Kansas City Chiefs (16/9/2012),16/09/2012,Buffalo Bills,Tight End,No,No,2,2012/2013,1,14,No,Head,17,Did not return from injury,37.00 downs,2012-09-16,1984-01-11,28.681724845995895,Receiver
Kevin Ogletree - Dallas Cowboys vs. Cleveland Browns (18/11/2012),Kevin Ogletree,Dallas Cowboys,Dallas Cowboys vs. Cleveland Browns (18/11/2012),18/11/2012,Cleveland Browns,Wide Receiver,No,Yes,11,2012/2013,1,1,No,Concussion,30,21 downs,34.56 downs,2012-11-18,1987-08-05,25.28952772073922,Receiver
Kyle Rudolph - Chicago Bears vs. Minnesota Vikings (25/11/2012),Kyle Rudolph,Minnesota Vikings,Chicago Bears vs. Minnesota Vikings (25/11/2012),25/11/2012,Chicago Bears,Tight End,No,No,12,2012/2013,1,0,No,Concussion,48,47 downs,63.20 downs,2012-11-25,1989-11-09,23.044490075290895,Receiver
LaRon Byrd - St. Louis Rams vs. Arizona Cardinals (25/11/2012),LaRon Byrd,Arizona Cardinals,St. Louis Rams vs. Arizona Cardinals (25/11/2012),25/11/2012,St. Louis Rams,Wide Receiver,No,No,12,2012/2013,1,2,No,Head,5,20 downs,1.00 downs,2012-11-25,1989-08-18,23.27173169062286,Receiver
Laurent Robinson - Jacksonville Jaguars vs. Indianapolis Colts (23/9/2012),Laurent Robinson,Jacksonville Jaguars,Jacksonville Jaguars vs. Indianapolis Colts (23/9/2012),23/09/2012,Indianapolis Colts,Wide Receiver,No,Yes,3,2012/2013,1,0,No,Concussion,5,26 downs,56.00 downs,2012-09-23,1985-05-20,27.345653661875428,Receiver
LeSean McCoy - Washington Redskins vs. Philadelphia Eagles (18/11/2012),LeSean McCoy,Philadelphia Eagles,Washington Redskins vs. Philadelphia Eagles (18/11/2012),18/11/2012,Washington Redskins,Running Back,No,No,11,2012/2013,1,4,No,Concussion,53,64 downs,60.00 downs,2012-11-18,1988-07-12,24.35318275154004,RB
Luke Stocker - New Orleans Saints vs. Tampa Bay Buccaneers (16/12/2012),Luke Stocker,Tampa Bay Buccaneers,New Orleans Saints vs. Tampa Bay Buccaneers (16/12/2012),16/12/2012,New Orleans Saints,Tight End,No,No,15,2012/2013,1,0,No,Head,28,45 downs,38.15 downs,2012-12-16,1988-07-17,24.416153319644078,Receiver
Matt Cassel - Baltimore Ravens vs. Kansas City Chiefs (7/10/2012),Matt Cassel,Kansas City Chiefs,Baltimore Ravens vs. Kansas City Chiefs (7/10/2012),7/10/2012,Baltimore Ravens,Quarterback,No,No,5,2012/2013,1,1,No,Concussion,62,51 downs,77.00 downs,2012-10-07,1982-05-17,30.392881587953458,QB
Matthew Slater - New England Patriots vs. New York Jets (22/11/2012),Matthew Slater,New England Patriots,New England Patriots vs. New York Jets (22/11/2012),22/11/2012,New York Jets,Wide Receiver,No,Yes,12,2012/2013,1,0,No,Concussion,25,20 downs,18.70 downs,2012-11-22,1985-09-09,27.20328542094456,Receiver
Michael Hoomanawanui - New England Patriots vs. Buffalo Bills (30/9/2012),Michael Hoomanawanui,New England Patriots,New England Patriots vs. Buffalo Bills (30/9/2012),30/09/2012,Buffalo Bills,Tight End,No,Yes,4,2012/2013,1,2,No,Concussion,9,20 downs,17.67 downs,2012-09-30,1988-07-04,24.240930869267626,Receiver
Michael Vick - Dallas Cowboys vs. Philadelphia Eagles (11/11/2012),Michael Vick,Philadelphia Eagles,Dallas Cowboys vs. Philadelphia Eagles (11/11/2012),11/11/2012,Dallas Cowboys,Quarterback,No,No,10,2012/2013,1,6,No,Concussion,20,60 downs,73.38 downs,2012-11-11,1980-06-26,32.37782340862423,QB
Mike Brisiel - Atlanta Falcons vs. Oakland Raiders (14/10/2012),Mike Brisiel,Oakland Raiders,Atlanta Falcons vs. Oakland Raiders (14/10/2012),14/10/2012,Atlanta Falcons,Guard,No,No,6,2012/2013,1,0,No,Concussion,26,85 downs,65.50 downs,2012-10-14,1983-03-14,29.587953456536617,Offensive Line
Mike Tolbert - Carolina Panthers vs. Washington Redskins (4/11/2012),Mike Tolbert,Carolina Panthers,Carolina Panthers vs. Washington Redskins (4/11/2012),4/11/2012,Washington Redskins,Full Back,No,Yes,9,2012/2013,1,0,No,Head,12,22 downs,33.00 downs,2012-11-04,1985-11-23,26.94866529774127,RB
Montell Owens - Jacksonville Jaguars vs. Indianapolis Colts (23/9/2012),Montell Owens,Jacksonville Jaguars,Jacksonville Jaguars vs. Indianapolis Colts (23/9/2012),23/09/2012,Indianapolis Colts,Running Back,No,Yes,3,2012/2013,1,0,No,Concussion,14,18 downs,32.50 downs,2012-09-23,1984-05-04,28.38877481177276,RB
Nate Eachus - Oakland Raiders vs. Kansas City Chiefs (28/10/2012),Nate Eachus,Kansas City Chiefs,Oakland Raiders vs. Kansas City Chiefs (28/10/2012),28/10/2012,Oakland Raiders,Running Back,No,No,8,2012/2013,1,1,No,Head,11,32 downs,28.50 downs,2012-10-28,1990-06-15,22.3709787816564,RB
Nate Livings - Dallas Cowboys vs. Cincinnati Bengals (9/12/2012),Nate Livings,Dallas Cowboys,Dallas Cowboys vs. Cincinnati Bengals (9/12/2012),9/12/2012,Cincinnati Bengals,Guard,No,Yes,14,2012/2013,1,0,No,Concussion,73,72 downs,74.17 downs,2012-12-09,1982-03-16,30.73511293634497,Offensive Line
Ramses Barden - Philadelphia Eagles vs. New York Giants (30/9/2012),Ramses Barden,New York Giants,Philadelphia Eagles vs. New York Giants (30/9/2012),30/09/2012,Philadelphia Eagles,Wide Receiver,No,No,4,2012/2013,1,1,No,Concussion,47,13 downs,42.33 downs,2012-09-30,1986-01-01,26.746064339493497,Receiver
Rashad Jennings - Buffalo Bills vs. Jacksonville Jaguars (2/12/2012),Rashad Jennings,Jacksonville Jaguars,Buffalo Bills vs. Jacksonville Jaguars (2/12/2012),2/12/2012,Buffalo Bills,Running Back,No,No,13,2012/2013,1,4,No,Concussion,16,Did not return from injury,38.33 downs,2012-12-02,1985-03-26,27.68788501026694,RB
Richard Goodman - San Diego Chargers vs. Oakland Raiders (10/9/2012),Richard Goodman,San Diego Chargers,San Diego Chargers vs. Oakland Raiders (10/9/2012),10/09/2012,Oakland Raiders,Wide Receiver,No,Yes,1,2012/2013,1,0,No,Concussion,16,20 downs,NA,2012-09-10,1987-12-30,24.698151950718685,Receiver
Robert Griffin III - Atlanta Falcons vs. Washington Redskins (7/10/2012),Robert Griffin III,Washington Redskins,Atlanta Falcons vs. Washington Redskins (7/10/2012),7/10/2012,Atlanta Falcons,Quarterback,No,No,5,2012/2013,1,0,No,Head,36,58 downs,71.00 downs,2012-10-07,1990-02-12,22.650239561943874,QB
Santana Moss - Carolina Panthers vs. Washington Redskins (4/11/2012),Santana Moss,Washington Redskins,Carolina Panthers vs. Washington Redskins (4/11/2012),4/11/2012,Carolina Panthers,Wide Receiver,No,No,9,2012/2013,1,0,No,Head,40,22 downs,28.75 downs,2012-11-04,1979-06-01,33.42915811088296,Receiver
Scott Chandler - New England Patriots vs. Buffalo Bills (30/9/2012),Scott Chandler,Buffalo Bills,New England Patriots vs. Buffalo Bills (30/9/2012),30/09/2012,New England Patriots,Tight End,No,No,4,2012/2013,1,0,No,Head,48,43 downs,59.33 downs,2012-09-30,1985-07-23,27.189596167008897,Receiver
Shawn Lauvao - Washington Redskins vs. Cleveland Browns (16/12/2012),Shawn Lauvao,Cleveland Browns,Washington Redskins vs. Cleveland Browns (16/12/2012),16/12/2012,Washington Redskins,Guard,No,No,15,2012/2013,1,0,No,Head,56,66 downs,69.54 downs,2012-12-16,1987-10-26,25.141683778234086,Offensive Line
Sidney Rice - Seattle Seahawks vs. Chicago Bears (2/12/2012),Sidney Rice,Seattle Seahawks,Seattle Seahawks vs. Chicago Bears (2/12/2012),2/12/2012,Chicago Bears,Wide Receiver,No,Yes,13,2012/2013,1,0,No,Head,68,44 downs,49.09 downs,2012-12-02,1986-09-01,26.253251197809718,Receiver
T.J. Lang - Green Bay Packers vs. Chicago Bears (16/12/2012),T.J. Lang,Green Bay Packers,Green Bay Packers vs. Chicago Bears (16/12/2012),16/12/2012,Chicago Bears,Guard,No,Yes,15,2012/2013,1,0,No,Concussion,79,87 downs,69.92 downs,2012-12-16,1987-09-20,25.240246406570844,Offensive Line
Tiquan Underwood - Tampa Bay Buccaneers vs. Carolina Panthers (18/11/2012),Tiquan Underwood,Tampa Bay Buccaneers,Tampa Bay Buccaneers vs. Carolina Panthers (18/11/2012),18/11/2012,Carolina Panthers,Wide Receiver,No,Yes,11,2012/2013,1,0,No,Head,34,29 downs,25.86 downs,2012-11-18,1987-02-17,25.752224503764545,Receiver
Tony Moeaki - Oakland Raiders vs. Kansas City Chiefs (16/12/2012),Tony Moeaki,Kansas City Chiefs,Oakland Raiders vs. Kansas City Chiefs (16/12/2012),16/12/2012,Oakland Raiders,Tight End,No,No,15,2012/2013,1,1,No,Head,48,36 downs,63.31 downs,2012-12-16,1987-06-08,25.52498288843258,Receiver
Torrey Smith - Denver Broncos vs. Baltimore Ravens (16/12/2012),Torrey Smith,Baltimore Ravens,Denver Broncos vs. Baltimore Ravens (16/12/2012),16/12/2012,Denver Broncos,Wide Receiver,No,No,15,2012/2013,1,0,No,Head,36,75 downs,60.92 downs,2012-12-16,1989-01-26,23.887748117727583,Receiver
Tyler Polumbus - Washington Redskins vs. Cleveland Browns (16/12/2012),Tyler Polumbus,Washington Redskins,Washington Redskins vs. Cleveland Browns (16/12/2012),16/12/2012,Cleveland Browns,Offensive Tackle,No,Yes,15,2012/2013,1,1,No,Head,32,62 downs,64.77 downs,2012-12-16,1985-04-10,27.685147159479808,Offensive Line
Uche Nwaneri - New England Patriots vs. Jacksonville Jaguars (23/12/2012),Uche Nwaneri,Jacksonville Jaguars,New England Patriots vs. Jacksonville Jaguars (23/12/2012),23/12/2012,New England Patriots,Guard,No,No,16,2012/2013,1,1,No,Concussion,33,Did not return from injury,66.79 downs,2012-12-23,1984-03-20,28.761122518822724,Offensive Line
Vernon Davis - Seattle Seahawks vs. San Francisco 49ers (23/12/2012),Vernon Davis,San Francisco 49ers,Seattle Seahawks vs. San Francisco 49ers (23/12/2012),23/12/2012,Seattle Seahawks,Tight End,No,No,16,2012/2013,1,0,No,Concussion,17,60 downs,60.07 downs,2012-12-23,1984-01-31,28.895277207392198,Receiver
Will Johnson - Pittsburgh Steelers vs. Baltimore Ravens (2/12/2012),Will Johnson,Pittsburgh Steelers,Pittsburgh Steelers vs. Baltimore Ravens (2/12/2012),2/12/2012,Baltimore Ravens,Full Back,No,Yes,13,2012/2013,1,0,No,Concussion,37,20 downs,34.27 downs,2012-12-02,1988-11-14,24.04928131416838,RB
William Powell - St. Louis Rams vs. Arizona Cardinals (4/10/2012),William Powell,Arizona Cardinals,St. Louis Rams vs. Arizona Cardinals (4/10/2012),4/10/2012,St. Louis Rams,Running Back,No,No,5,2012/2013,1,0,No,Head,14,35 downs,40.00 downs,2012-10-04,1988-03-09,24.57221081451061,RB
